
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      4000        39        0.82    0.1220
      5000        49        0.84    0.2350
      6000        62        0.85    0.3520
      7000        72        0.87    0.5570
      8000        83        0.87    0.8380
      9000        93        0.87    1.2130
     10000       103        0.88    1.7010
     11000       114        0.88    2.3320
     12000       124        0.87    3.1740
     13000       134        0.84    4.7060
 


           ========== 15x10E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.78    0.0020
      2000        19        0.78    0.0150
      3000        29        0.79    0.0490
      4000        39        0.81    0.1120
      5000        49        0.84    0.2140
      6000        62        0.85    0.3220
      7000        72        0.86    0.5090
      8000        82        0.87    0.7660
      9000        92        0.88    1.0950
     10000       103        0.88    1.5260
     11000       113        0.89    2.0720
     12000       128        0.89    2.3500
     13000       139        0.87    3.2520
     13999       144        0.82    5.6900
     15000       152        0.76    7.5440
 


           ========== 15x11-4 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.77    0.0040
      2000        21        0.77    0.0290
      3000        32        0.78    0.0960
      4000        43        0.81    0.2220
      5000        54        0.82    0.4270
      6000        68        0.83    0.6410
      7000        79        0.84    1.0140
      8000        91        0.85    1.5240
      9000       102        0.86    2.1890
     10000       113        0.86    3.0700
     11000       125        0.86    4.2070
     12000       136        0.86    5.7000
 


           ========== 15x11 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.79    0.0020
      2000        21        0.79    0.0190
      3000        32        0.82    0.0600
      4000        43        0.84    0.1390
      5000        56        0.86    0.2340
      6000        67        0.87    0.4030
      7000        78        0.88    0.6390
      8000        89        0.88    0.9640
      9000       101        0.89    1.3960
     10000       112        0.89    1.9570
     11000       123        0.89    2.6880
     12000       134        0.89    3.6710
 


           ========== 15x12 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.81    0.0030
      2000        23        0.81    0.0210
      3000        34        0.84    0.0680
      4000        48        0.86    0.1370
      5000        60        0.87    0.2650
      6000        72        0.88    0.4570
      7000        84        0.89    0.7260
      8000        96        0.90    1.0970
      9000       109        0.90    1.5780
     10000       126        0.90    1.8750
     11000       138        0.90    2.5820
     12000       151        0.90    3.5400
     13000       163        0.86    5.2320
     15000       178        0.75   11.7390
 


           ========== 15x12F ==========

       RPM       VMPH       EFF      HP
      1000        10        0.77    0.0020
      2000        20        0.77    0.0160
      3000        30        0.79    0.0540
      4000        40        0.82    0.1230
      5000        52        0.84    0.2060
      6000        62        0.85    0.3550
      7000        73        0.86    0.5580
      8000        83        0.88    0.8400
      9000        93        0.88    1.2120
     10000       104        0.88    1.6930
     11000       114        0.88    2.3150
     12000       130        0.88    2.6220
     13000       140        0.87    3.5820
     13999       139        0.79    7.5200
 


           ========== 15x12W ==========

       RPM       VMPH       EFF      HP
      1000        11        0.80    0.0030
      2000        23        0.80    0.0230
      3000        36        0.84    0.0640
      4000        48        0.86    0.1480
      5000        60        0.87    0.2870
      6000        72        0.88    0.4940
      7000        84        0.89    0.7880
      8000       100        0.89    0.9990
      9000       109        0.89    1.7160
     10000       126        0.89    2.0370
     11000       138        0.89    2.8030
     12000       151        0.89    3.8410
     13000       157        0.85    6.7360
     13999       168        0.79   10.1850
 


           ========== 15x13 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.83    0.0030
      2000        24        0.83    0.0230
      3000        37        0.85    0.0760
      4000        49        0.87    0.1770
      5000        64        0.88    0.3000
      6000        77        0.89    0.5170
      7000        90        0.90    0.8240
      8000       103        0.90    1.2480
      9000       116        0.90    1.7970
     10000       129        0.90    2.5490
     11000       148        0.90    2.9460
     12000       161        0.90    4.0320
     13999       180        0.81   10.6930
 


           ========== 15x135-3 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.81    0.0040
      2000        24        0.81    0.0340
      3000        36        0.82    0.1150
      4000        51        0.84    0.2400
      5000        63        0.85    0.4670
      6000        76        0.86    0.8050
      7000        89        0.87    1.2840
      8000       102        0.87    1.9400
      9000       114        0.87    2.8180
     10000       127        0.87    3.9670
     11000       146        0.87    4.8060
     12000       159        0.87    6.6250
     13999       170        0.77   17.9670
 


           ========== 15x13N ==========

       RPM       VMPH       EFF      HP
      1000        13        0.85    0.0030
      2000        26        0.85    0.0220
      3000        40        0.86    0.0640
      4000        54        0.88    0.1490
      5000        68        0.89    0.2890
      6000        81        0.90    0.4990
      7000        99        0.91    0.6620
      8000       113        0.91    1.0050
      9000       127        0.92    1.4580
     10000       141        0.92    2.0570
     11000       155        0.92    2.8530
     12000       169        0.92    3.9100
     13000       176        0.88    7.0200
     13999       189        0.82   10.4100
     15000       194        0.76   15.1550
 


           ========== 15x13W-3 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.79    0.0040
      2000        23        0.79    0.0360
      3000        35        0.81    0.1180
      4000        49        0.83    0.2470
      5000        61        0.84    0.4800
      6000        74        0.85    0.8260
      7000        86        0.86    1.3180
      8000        98        0.86    1.9950
      9000       111        0.86    2.8980
     10000       123        0.86    4.0760
     11000       141        0.86    4.9350
     12000       154        0.86    6.7980
 


           ========== 15x14 ==========

       RPM       VMPH       EFF      HP
      1000        13        0.84    0.0030
      2000        26        0.84    0.0260
      3000        39        0.86    0.0840
      4000        53        0.88    0.1960
      5000        69        0.89    0.3330
      6000        83        0.90    0.5760
      7000        96        0.90    0.9190
      8000       110        0.90    1.3930
      9000       124        0.91    2.0090
     10000       144        0.91    2.3960
     11000       158        0.91    3.3030
     12000       172        0.90    4.5590
     13999       184        0.81   13.4310
     15000       203        0.77   15.1900
 


           ========== 15x14N ==========

       RPM       VMPH       EFF      HP
      1000        14        0.85    0.0030
      2000        27        0.85    0.0230
      3000        42        0.87    0.0680
      4000        56        0.89    0.1580
      5000        70        0.90    0.3070
      6000        84        0.91    0.5310
      7000       103        0.91    0.7090
      8000       117        0.92    1.0750
      9000       132        0.92    1.5620
     10000       146        0.92    2.2070
     11000       161        0.92    3.0670
     12000       175        0.92    4.2490
     13000       182        0.88    7.7050
     15000       200        0.77   16.1830
 


           ========== 15x4E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.54    0.0010
      2000         9        0.54    0.0060
      3000        13        0.54    0.0210
      4000        18        0.58    0.0470
      5000        22        0.62    0.0920
      6000        27        0.64    0.1450
      7000        32        0.66    0.2250
      8000        37        0.68    0.3290
      9000        41        0.70    0.4640
     10000        46        0.71    0.6350
     11000        53        0.72    0.7960
     12000        58        0.72    1.0520
     13000        59        0.71    1.5380
     13999        64        0.62    2.4590
     15000        65        0.53    3.7680
 


           ========== 15x4W ==========

       RPM       VMPH       EFF      HP
      1000         4        0.49    0.0010
      2000         9        0.50    0.0090
      3000        13        0.55    0.0280
      4000        18        0.59    0.0620
      5000        22        0.62    0.1160
      6000        27        0.64    0.1950
      7000        32        0.65    0.3070
      8000        36        0.66    0.4610
      9000        43        0.66    0.6240
     10000        48        0.66    0.8650
     11000        52        0.66    1.1830
     12000        57        0.66    1.5950
     13000        62        0.62    2.3270
     13999        64        0.50    4.2210
     15000        64        0.41    6.7630
 


           ========== 15x55MR ==========

       RPM       VMPH       EFF      HP
      2000        13        0.65    0.0110
      3000        19        0.68    0.0350
      4000        25        0.71    0.0840
      5000        33        0.74    0.1480
      6000        39        0.75    0.2490
      7000        46        0.77    0.3890
      8000        53        0.79    0.5760
      9000        59        0.79    0.8310
     10000        69        0.79    1.0440
     11000        76        0.80    1.4140
     12000        79        0.79    2.1090
     13000        82        0.77    3.0670
     14000        87        0.71    4.5220
     15000        92        0.65    6.3130
 


           ========== 15x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.63    0.0010
      2000        12        0.64    0.0100
      3000        19        0.67    0.0310
      4000        25        0.71    0.0710
      5000        32        0.74    0.1360
      6000        38        0.76    0.2300
      7000        45        0.77    0.3600
      8000        51        0.78    0.5370
      9000        58        0.79    0.7730
     10000        67        0.79    0.9750
     11000        74        0.79    1.3180
     12000        81        0.80    1.7730
     13000        87        0.79    2.4290
     13999        90        0.67    4.4580
     15000        92        0.58    6.8330
     16000        91        0.50    9.9020
 


           ========== 15x6E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.65    0.0010
      2000        12        0.65    0.0090
      3000        19        0.65    0.0290
      4000        25        0.69    0.0660
      5000        31        0.72    0.1230
      6000        38        0.74    0.2080
      7000        44        0.76    0.3260
      8000        50        0.78    0.4830
      9000        59        0.79    0.6200
     10000        66        0.80    0.8540
     11000        73        0.80    1.1630
     12000        79        0.81    1.5460
     13000        86        0.80    2.0930
     13999        93        0.72    3.2000
     15000        91        0.64    5.2680
     16000        93        0.58    7.0450
 


           ========== 15x7 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.67    0.0020
      2000        13        0.67    0.0130
      3000        21        0.71    0.0380
      4000        28        0.74    0.0860
      5000        35        0.76    0.1640
      6000        43        0.78    0.2790
      7000        52        0.80    0.3960
      8000        60        0.81    0.5940
      9000        67        0.81    0.8550
     10000        75        0.81    1.1940
     11000        82        0.81    1.6170
     12000        90        0.82    2.1840
     13000        97        0.81    3.0220
     13999       106        0.71    4.8190
     15000       107        0.62    7.5470
 


           ========== 15x7E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.69    0.0010
      2000        14        0.69    0.0100
      3000        21        0.70    0.0350
      4000        28        0.73    0.0790
      5000        35        0.76    0.1490
      6000        44        0.78    0.2280
      7000        52        0.79    0.3580
      8000        59        0.81    0.5310
      9000        67        0.82    0.7590
     10000        74        0.83    1.0490
     11000        81        0.83    1.4290
     12000        89        0.83    1.9050
     13000       100        0.83    2.2660
     13999       104        0.75    3.9140
     15000       106        0.68    5.8900
 


           ========== 15x8 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.71    0.0020
      2000        16        0.71    0.0140
      3000        24        0.75    0.0450
      4000        32        0.78    0.1020
      5000        41        0.80    0.1760
      6000        50        0.82    0.3000
      7000        58        0.83    0.4730
      8000        67        0.84    0.7110
      9000        75        0.84    1.0170
     10000        83        0.84    1.4320
     11000        96        0.84    1.7160
     12000       104        0.85    2.3170
     13000       113        0.84    3.1820
     13999       117        0.74    5.8590
 


           ========== 15x8E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.73    0.0020
      2000        15        0.73    0.0120
      3000        23        0.73    0.0410
      4000        31        0.76    0.0930
      5000        41        0.79    0.1590
      6000        49        0.81    0.2710
      7000        57        0.82    0.4280
      8000        66        0.83    0.6400
      9000        77        0.84    0.7970
     10000        86        0.85    1.1050
     11000        94        0.85    1.5070
     12000       103        0.86    2.0130
     13000       111        0.84    2.7770
     13999       121        0.78    4.1150
     15000       123        0.71    6.3410
 


           ========== 165x12 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.79    0.0030
      2000        22        0.79    0.0280
      3000        33        0.82    0.0920
      4000        47        0.84    0.1920
      5000        58        0.86    0.3740
      6000        70        0.86    0.6470
      7000        82        0.87    1.0350
      8000        94        0.88    1.5710
      9000       106        0.88    2.2950
     10000       123        0.88    2.8620
     11000       135        0.87    4.0730
     12000       148        0.82    6.4080
 


           ========== 165x12W ==========

       RPM       VMPH       EFF      HP
      1000        11        0.79    0.0040
      2000        23        0.80    0.0290
      3000        35        0.84    0.0940
      4000        47        0.85    0.2200
      5000        62        0.87    0.3730
      6000        74        0.88    0.6420
      7000        86        0.89    1.0320
      8000        99        0.89    1.5670
      9000       111        0.89    2.2860
     10000       124        0.89    3.2640
     11000       136        0.89    4.6010
     12000       148        0.84    7.0730
 


           ========== 165x13 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.81    0.0040
      2000        23        0.81    0.0340
      3000        36        0.83    0.1030
      4000        50        0.85    0.2140
      5000        63        0.86    0.4170
      6000        75        0.87    0.7240
      7000        88        0.88    1.1620
      8000       100        0.88    1.7710
      9000       113        0.88    2.5940
     10000       131        0.88    3.2470
     11000       144        0.88    4.6590
 


           ========== 165x13W ==========

       RPM       VMPH       EFF      HP
      1000        12        0.81    0.0040
      2000        25        0.81    0.0330
      3000        38        0.85    0.1050
      4000        50        0.86    0.2470
      5000        66        0.88    0.4200
      6000        79        0.89    0.7250
      7000        92        0.89    1.1680
      8000       105        0.89    1.7750
      9000       118        0.89    2.5980
     10000       131        0.89    3.7010
     11000       144        0.89    5.2050
 


           ========== 165x14 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.82    0.0040
      2000        25        0.82    0.0340
      3000        38        0.85    0.1140
      4000        53        0.87    0.2390
      5000        67        0.87    0.4670
      6000        80        0.88    0.8080
      7000        93        0.89    1.2970
      8000       107        0.89    1.9770
      9000       125        0.89    2.5390
     10000       139        0.89    3.6320
     11000       153        0.89    5.1950
     12000       168        0.84    8.2890
 


           ========== 165x5W ==========

       RPM       VMPH       EFF      HP
      1000         6        0.62    0.0020
      2000        13        0.63    0.0150
      3000        19        0.68    0.0490
      4000        27        0.72    0.1030
      5000        33        0.74    0.1950
      6000        40        0.77    0.3300
      7000        47        0.77    0.5240
      8000        54        0.78    0.7920
      9000        60        0.78    1.1520
     10000        70        0.78    1.4720
     11000        74        0.78    2.2620
     12000        80        0.73    3.4010
     13000        84        0.63    5.8440
     13999        84        0.53    9.1590
 


           ========== 16x10 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.75    0.0030
      2000        20        0.75    0.0210
      3000        30        0.80    0.0670
      4000        40        0.82    0.1540
      5000        50        0.84    0.2960
      6000        63        0.85    0.4470
      7000        74        0.86    0.7070
      8000        84        0.86    1.0710
      9000        95        0.87    1.5560
     10000       105        0.87    2.1930
     11000       116        0.87    3.0550
     12000       126        0.84    4.5250
     13000       131        0.76    7.9160
 


           ========== 16x10E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.76    0.0030
      2000        20        0.76    0.0190
      3000        30        0.78    0.0610
      4000        40        0.81    0.1400
      5000        49        0.83    0.2690
      6000        62        0.85    0.4040
      7000        72        0.86    0.6390
      8000        83        0.87    0.9560
      9000        93        0.88    1.3790
     10000       104        0.88    1.9380
     11000       114        0.88    2.6750
     12000       124        0.87    3.7060
     13999       138        0.74    8.8680
     15000       142        0.69   11.5070
 


           ========== 16x11 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.77    0.0030
      2000        21        0.77    0.0230
      3000        32        0.82    0.0750
      4000        43        0.84    0.1740
      5000        56        0.85    0.2950
      6000        68        0.87    0.5060
      7000        79        0.87    0.8090
      8000        90        0.88    1.2260
      9000       102        0.88    1.7810
     10000       113        0.88    2.5160
     11000       124        0.88    3.5100
     12000       136        0.85    5.2030
 


           ========== 16x12 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.79    0.0030
      2000        23        0.80    0.0270
      3000        35        0.84    0.0860
      4000        49        0.85    0.1740
      5000        61        0.87    0.3360
      6000        73        0.88    0.5810
      7000        86        0.89    0.9240
      8000        98        0.89    1.4030
      9000       111        0.89    2.0440
     10000       123        0.89    2.9090
     11000       135        0.89    4.0760
     12000       141        0.84    7.2180
 


           ========== 16x12E ==========

       RPM       VMPH       EFF      HP
      1000        11        0.81    0.0030
      2000        23        0.81    0.0230
      3000        34        0.82    0.0780
      4000        46        0.85    0.1790
      5000        60        0.86    0.3030
      6000        72        0.88    0.5210
      7000        84        0.89    0.8290
      8000       101        0.90    1.0450
      9000       113        0.90    1.5130
     10000       126        0.90    2.1300
     11000       138        0.90    2.9580
     12000       151        0.90    4.1630
     13999       167        0.77   10.3860
 


           ========== 16x13 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.81    0.0040
      2000        25        0.81    0.0290
      3000        37        0.85    0.0950
      4000        52        0.87    0.1930
      5000        65        0.88    0.3770
      6000        78        0.89    0.6490
      7000        91        0.90    1.0360
      8000       105        0.90    1.5750
      9000       122        0.90    1.9370
     10000       136        0.90    2.7220
     11000       150        0.90    3.8280
     12000       163        0.87    5.8390
     13000       170        0.80   10.4960
 


           ========== 16x13N ==========

       RPM       VMPH       EFF      HP
      1000        12        0.82    0.0030
      2000        24        0.82    0.0280
      3000        36        0.84    0.0920
      4000        50        0.86    0.1920
      5000        63        0.87    0.3740
      6000        75        0.88    0.6490
      7000        88        0.88    1.0380
      8000       101        0.89    1.5700
      9000       118        0.89    2.0100
     10000       131        0.89    2.8490
     11000       144        0.89    3.9810
     12000       157        0.87    5.9260
 


           ========== 16x14 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.82    0.0040
      2000        26        0.83    0.0320
      3000        39        0.86    0.1050
      4000        53        0.87    0.2450
      5000        66        0.88    0.4790
      6000        82        0.89    0.7230
      7000        96        0.89    1.1630
      8000       110        0.89    1.7680
      9000       124        0.89    2.5790
     10000       138        0.89    3.6500
     11000       151        0.89    5.1400
     12000       171        0.88    6.3070
     13000       179        0.81   11.8050
     13999       190        0.75   15.3010
 


           ========== 16x14N ==========

       RPM       VMPH       EFF      HP
      1000        13        0.84    0.0040
      2000        26        0.84    0.0320
      3000        41        0.86    0.0970
      4000        55        0.88    0.2250
      5000        69        0.89    0.4390
      6000        83        0.89    0.7630
      7000       101        0.90    1.0720
      8000       116        0.90    1.6240
      9000       130        0.90    2.3780
     10000       145        0.90    3.3790
     11000       159        0.90    4.7380
     12000       173        0.87    7.4360
     13000       181        0.82   12.2840
 


           ========== 16x15 ==========

       RPM       VMPH       EFF      HP
      1000        13        0.83    0.0050
      2000        26        0.83    0.0390
      3000        42        0.86    0.1150
      4000        56        0.87    0.2690
      5000        70        0.88    0.5250
      6000        87        0.89    0.7960
      7000       102        0.89    1.2830
      8000       117        0.89    1.9400
      9000       131        0.89    2.8460
     10000       146        0.89    4.0440
     11000       160        0.89    5.6860
     12000       182        0.86    7.2640
     13000       182        0.81   14.3680
 


           ========== 16x16 ==========

       RPM       VMPH       EFF      HP
      1000        14        0.84    0.0050
      2000        28        0.84    0.0420
      3000        44        0.86    0.1260
      4000        59        0.88    0.2950
      5000        74        0.88    0.5770
      6000        88        0.89    1.0020
      7000       103        0.89    1.6160
      8000       123        0.89    2.1430
      9000       138        0.89    3.1470
     10000       154        0.89    4.4750
     11000       169        0.89    6.3070
     13000       192        0.80   16.3660
 


           ========== 16x4E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.52    0.0010
      2000         9        0.52    0.0080
      3000        13        0.54    0.0280
      4000        17        0.58    0.0620
      5000        22        0.61    0.1160
      6000        28        0.64    0.1840
      7000        32        0.66    0.2840
      8000        37        0.68    0.4150
      9000        42        0.70    0.5890
     10000        47        0.70    0.8220
     11000        51        0.71    1.1190
     12000        56        0.71    1.5120
     13000        61        0.61    2.5170
     13999        62        0.51    4.0810
     15000        61        0.42    6.0100
 


           ========== 16x4W ==========

       RPM       VMPH       EFF      HP
      1000         4        0.48    0.0010
      2000         9        0.50    0.0110
      3000        13        0.55    0.0340
      4000        18        0.59    0.0770
      5000        23        0.62    0.1440
      6000        27        0.64    0.2430
      7000        32        0.64    0.3880
      8000        36        0.65    0.5840
      9000        41        0.65    0.8440
     10000        46        0.65    1.1760
     11000        53        0.65    1.5210
     12000        57        0.66    2.0540
     13000        60        0.52    4.0020
     13999        61        0.41    6.9580
     15000        59        0.33    9.2810
 


           ========== 16x55MR ==========

       RPM       VMPH       EFF      HP
      1000         6        0.63    0.0020
      2000        12        0.63    0.0150
      3000        19        0.67    0.0460
      4000        25        0.71    0.1030
      5000        33        0.73    0.1810
      6000        39        0.75    0.3050
      7000        46        0.77    0.4760
      8000        53        0.77    0.7170
      9000        59        0.78    1.0340
     10000        66        0.78    1.4450
     11000        73        0.78    1.9740
     12000        76        0.76    2.9470
     13000        81        0.69    4.5220
     13999        83        0.63    6.7530
 


           ========== 16x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.63    0.0020
      2000        13        0.63    0.0130
      3000        20        0.68    0.0410
      4000        26        0.72    0.0920
      5000        33        0.74    0.1750
      6000        40        0.77    0.2950
      7000        47        0.78    0.4630
      8000        54        0.78    0.7010
      9000        63        0.79    0.9190
     10000        70        0.79    1.2910
     11000        77        0.79    1.7870
     12000        80        0.77    2.7690
     13000        87        0.66    4.6790
     13999        89        0.58    7.3180
 


           ========== 16x6E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.63    0.0010
      2000        12        0.63    0.0110
      3000        19        0.65    0.0370
      4000        25        0.69    0.0820
      5000        32        0.72    0.1550
      6000        38        0.74    0.2620
      7000        45        0.76    0.4090
      8000        51        0.78    0.6060
      9000        60        0.79    0.7840
     10000        67        0.79    1.0960
     11000        74        0.79    1.4970
     12000        80        0.80    2.0350
     13000        83        0.71    3.5960
     13999        86        0.62    5.5310
     15000        89        0.54    7.7090
 


           ========== 16x7 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.67    0.0020
      2000        15        0.67    0.0150
      3000        22        0.72    0.0480
      4000        29        0.75    0.1100
      5000        39        0.78    0.1890
      6000        46        0.80    0.3220
      7000        54        0.81    0.5060
      8000        62        0.81    0.7660
      9000        70        0.82    1.1130
     10000        78        0.82    1.5710
     11000        85        0.81    2.1750
     12000        93        0.80    3.0530
     13000       101        0.70    5.1050
 


           ========== 16x7E(3D) ==========

       RPM       VMPH       EFF      HP
      1000         6        0.64    0.0020
      2000        13        0.64    0.0150
      3000        20        0.66    0.0480
      4000        27        0.71    0.1080
      5000        34        0.73    0.2060
      6000        43        0.75    0.3250
      7000        50        0.77    0.5120
      8000        57        0.78    0.7620
      9000        64        0.79    1.0980
     10000        75        0.79    1.3900
     11000        82        0.80    1.9040
     12000        89        0.80    2.6110
 


           ========== 16x8 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.69    0.0020
      2000        16        0.70    0.0180
      3000        24        0.75    0.0550
      4000        32        0.78    0.1270
      5000        42        0.80    0.2200
      6000        51        0.82    0.3740
      7000        60        0.83    0.5920
      8000        68        0.83    0.8970
      9000        77        0.83    1.2930
     10000        85        0.83    1.8300
     11000        94        0.83    2.5360
     12000       102        0.81    3.7180
     13000       111        0.71    5.9970
     13999       113        0.63    9.5360
 


           ========== 16x8E ==========

       RPM       VMPH       EFF      HP
      1000         8        0.71    0.0020
      2000        16        0.71    0.0150
      3000        24        0.73    0.0510
      4000        32        0.76    0.1150
      5000        41        0.79    0.1990
      6000        50        0.80    0.3400
      7000        58        0.82    0.5350
      8000        66        0.83    0.7970
      9000        75        0.84    1.1470
     10000        87        0.84    1.4100
     11000        95        0.85    1.9350
     12000       104        0.85    2.6430
     13000       108        0.77    4.7700
     13999       111        0.69    7.2160
 


           ========== 175x18 ==========

       RPM       VMPH       EFF      HP
      1000        16        0.87    0.0080
      2000        33        0.87    0.0670
      3000        50        0.88    0.2220
      4000        67        0.89    0.5230
      5000        83        0.89    1.0300
      6000       100        0.89    1.8010
      7000       122        0.90    2.6360
      8000       140        0.90    4.0740
      9000       157        0.89    6.0780
     10000       175        0.89    9.0530
     11000       201        0.82   14.7220
     12000       207        0.75   22.6340
 


           ========== 17x10 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.73    0.0040
      2000        19        0.75    0.0280
      3000        29        0.79    0.0890
      4000        40        0.82    0.1870
      5000        50        0.84    0.3600
      6000        60        0.85    0.6200
      7000        73        0.85    0.8730
      8000        84        0.85    1.3260
      9000        95        0.86    1.9310
     10000       105        0.86    2.7370
     11000       116        0.86    3.8520
     12000       121        0.78    7.2860
 


           ========== 17x10E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.75    0.0030
      2000        19        0.75    0.0250
      3000        30        0.78    0.0740
      4000        40        0.81    0.1690
      5000        50        0.83    0.3260
      6000        63        0.84    0.4910
      7000        74        0.86    0.7770
      8000        84        0.87    1.1730
      9000        95        0.87    1.7050
     10000       105        0.87    2.4130
     11000       116        0.87    3.3720
     12000       126        0.81    5.3180
     13000       131        0.75    8.5150
     13999       138        0.68   11.2770
 


           ========== 17x10N ==========

       RPM       VMPH       EFF      HP
      1000        10        0.77    0.0040
      2000        21        0.77    0.0290
      3000        32        0.81    0.0830
      4000        43        0.84    0.1920
      5000        57        0.85    0.3250
      6000        68        0.87    0.5580
      7000        80        0.88    0.8920
      8000        91        0.88    1.3550
      9000       102        0.88    1.9800
     10000       114        0.89    2.8320
     11000       125        0.87    4.1140
     13000       133        0.69   12.8760
 


           ========== 17x10WE ==========

       RPM       VMPH       EFF      HP
      1000        10        0.73    0.0030
      2000        20        0.74    0.0260
      3000        30        0.79    0.0820
      4000        40        0.81    0.1900
      5000        52        0.83    0.3200
      6000        63        0.85    0.5480
      7000        73        0.85    0.8800
      8000        84        0.86    1.3330
      9000        94        0.86    1.9370
     10000       105        0.86    2.7430
     11000       115        0.86    3.8280
     12000       126        0.80    5.9580
     13000       130        0.73    9.6750
 


           ========== 17x12 ==========

       RPM       VMPH       EFF      HP
      1000        11        0.78    0.0040
      2000        23        0.79    0.0330
      3000        35        0.83    0.1050
      4000        47        0.85    0.2440
      5000        61        0.87    0.4130
      6000        74        0.88    0.7140
      7000        86        0.88    1.1540
      8000        99        0.88    1.7540
      9000       111        0.88    2.5640
     10000       123        0.88    3.6510
     11000       135        0.87    5.3610
 


           ========== 17x125N ==========

       RPM       VMPH       EFF      HP
      1000        13        0.81    0.0040
      2000        25        0.81    0.0340
      3000        38        0.85    0.1090
      4000        51        0.87    0.2540
      5000        67        0.88    0.4320
      6000        80        0.89    0.7490
      7000        94        0.90    1.2060
      8000       108        0.90    1.8290
      9000       121        0.90    2.6820
     10000       134        0.90    3.8810
     11000       147        0.88    5.8190
     13000       159        0.73   16.6860
 


           ========== 17x1275 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.79    0.0040
      2000        25        0.81    0.0350
      3000        37        0.84    0.1140
      4000        52        0.86    0.2320
      5000        65        0.88    0.4500
      6000        78        0.89    0.7800
      7000        91        0.89    1.2500
      8000       104        0.89    1.9160
      9000       117        0.89    2.8050
     10000       130        0.89    3.9990
 


           ========== 17x12E ==========

       RPM       VMPH       EFF      HP
      1000        11        0.79    0.0040
      2000        23        0.79    0.0290
      3000        35        0.82    0.0930
      4000        47        0.85    0.2150
      5000        61        0.86    0.3640
      6000        73        0.87    0.6280
      7000        86        0.89    1.0010
      8000        98        0.89    1.5150
      9000       110        0.89    2.2070
     10000       128        0.89    2.6320
     11000       140        0.89    3.7180
     12000       147        0.84    6.7780
     13000       151        0.77   11.5720
 


           ========== 17x12N ==========

       RPM       VMPH       EFF      HP
      1000        12        0.81    0.0040
      2000        25        0.81    0.0320
      3000        37        0.84    0.1040
      4000        52        0.86    0.2130
      5000        65        0.88    0.4130
      6000        78        0.89    0.7150
      7000        91        0.90    1.1470
      8000       104        0.90    1.7440
      9000       123        0.90    2.1430
     10000       136        0.90    3.0960
     11000       149        0.89    4.6460
     12000       149        0.80   10.3510
     13000       155        0.72   16.3530
 


           ========== 17x12W ==========

       RPM       VMPH       EFF      HP
      1000        11        0.77    0.0040
      2000        23        0.80    0.0340
      3000        35        0.83    0.1100
      4000        47        0.85    0.2550
      5000        61        0.87    0.4320
      6000        74        0.87    0.7500
      7000        86        0.88    1.2100
      8000        99        0.88    1.8390
      9000       111        0.88    2.6890
     10000       123        0.88    3.8240
     11000       135        0.86    5.6160
 


           ========== 17x13 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.80    0.0050
      2000        25        0.81    0.0360
